,baseline,allstar_flag-true,allstar_flag-false
Mean,0.0,0.0,0.0
Median,0.0,0.0,0.0
Standard Deviation,0.0,0.0,0.0
Minimum,0.0,0.0,0.0
Maximum,1.0,0.0,1.0
Count,112106.0,5429.0,106677.0
