,baseline,allstar_flag-true,allstar_flag-false
Mean,1.18,3.04,1.08
Median,0.0,0.0,0.0
Standard Deviation,8.04,14.7,7.54
Minimum,0.0,0.0,0.0
Maximum,162.0,158.0,162.0
Count,112106.0,5429.0,106677.0
