,baseline,allstar_flag-true,allstar_flag-false
Mean,50.92,103.95,48.19
Median,35.0,125.0,34.0
Standard Deviation,45.83,50.26,43.89
Minimum,1.0,1.0,1.0
Maximum,209.0,193.0,209.0
Count,110884.0,5422.0,105462.0
