,baseline,allstar_flag-true,allstar_flag-false
Mean,54.97,108.24,52.26
Median,38.0,133.0,36.0
Standard Deviation,47.37,49.86,45.6
Minimum,1.0,8.0,1.0
Maximum,165.0,165.0,164.0
Count,112104.0,5429.0,106675.0
