,baseline,allstar_flag-true,allstar_flag-false
Mean,117.23,296.38,108.02
Median,16.0,224.0,14.0
Standard Deviation,216.76,350.06,203.38
Minimum,0.0,0.0,0.0
Maximum,1846.0,1682.0,1846.0
Count,110884.0,5422.0,105462.0
