,baseline,allstar_flag-true,allstar_flag-false
Mean,4.47,10.98,4.14
Median,0.0,0.0,0.0
Standard Deviation,19.98,36.63,18.68
Minimum,0.0,0.0,0.0
Maximum,164.0,164.0,162.0
Count,112106.0,5429.0,106677.0
