,baseline,allstar_flag-true,allstar_flag-false
Mean,189.92,194.74,189.67
Median,186.0,190.0,185.0
Standard Deviation,22.52,22.83,22.47
Minimum,65.0,139.0,65.0
Maximum,320.0,300.0,320.0
Count,110989.0,5429.0,105560.0
