,baseline,allstar_flag-true,allstar_flag-false
Mean,1.31,2.78,1.23
Median,0.0,2.0,0.0
Standard Deviation,2.63,3.39,2.57
Minimum,0.0,0.0,0.0
Maximum,36.0,23.0,36.0
Count,112104.0,5429.0,106675.0
