,baseline,allstar_flag-true,allstar_flag-false
Mean,1.16,5.59,0.93
Median,0.0,0.0,0.0
Standard Deviation,5.83,12.96,5.11
Minimum,0.0,0.0,0.0
Maximum,77.0,73.0,77.0
Count,112106.0,5429.0,106677.0
