,baseline,allstar_flag-true,allstar_flag-false
Mean,3.01,6.67,2.82
Median,0.0,2.0,0.0
Standard Deviation,7.69,11.5,7.4
Minimum,0.0,0.0,0.0
Maximum,138.0,130.0,138.0
Count,112104.0,5429.0,106675.0
