,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.05,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.2,0.49,0.17
Minimum,0.0,0.0,0.0
Maximum,15.0,15.0,9.0
Count,110884.0,5422.0,105462.0
