,baseline,allstar_flag-true,allstar_flag-false
Mean,0.33,1.66,0.26
Median,0.0,0.0,0.0
Standard Deviation,2.4,5.52,2.1
Minimum,0.0,0.0,0.0
Maximum,57.0,55.0,57.0
Count,112106.0,5429.0,106677.0
