,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.08,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.15,0.44,0.12
Minimum,0.0,0.0,0.0
Maximum,13.0,13.0,8.0
Count,112106.0,5429.0,106677.0
