,baseline,allstar_flag-true,allstar_flag-false
Mean,4.73,10.28,4.45
Median,0.0,0.0,0.0
Standard Deviation,18.66,33.39,17.54
Minimum,0.0,0.0,0.0
Maximum,163.0,163.0,163.0
Count,112106.0,5429.0,106677.0
