,baseline,allstar_flag-true,allstar_flag-false
Mean,0.03,0.2,0.02
Median,0.0,0.0,0.0
Standard Deviation,0.27,0.72,0.22
Minimum,0.0,0.0,0.0
Maximum,10.0,8.0,10.0
Count,112106.0,5429.0,106677.0
