,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.03,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.09,0.18,0.08
Minimum,0.0,0.0,0.0
Maximum,4.0,3.0,4.0
Count,112106.0,5429.0,106677.0
