,baseline,allstar_flag-true,allstar_flag-false
Mean,8.03,39.68,6.42
Median,0.0,0.0,0.0
Standard Deviation,39.61,88.13,34.64
Minimum,0.0,0.0,0.0
Maximum,520.0,497.0,520.0
Count,112106.0,5429.0,106677.0
