,baseline,allstar_flag-true,allstar_flag-false
Mean,0.24,1.11,0.19
Median,0.0,0.0,0.0
Standard Deviation,1.3,2.85,1.14
Minimum,0.0,0.0,0.0
Maximum,29.0,29.0,28.0
Count,112106.0,5429.0,106677.0
