,baseline,allstar_flag-true,allstar_flag-false
Mean,5.3,7.59,5.19
Median,2.0,5.0,1.0
Standard Deviation,9.81,7.56,9.89
Minimum,0.0,0.0,0.0
Maximum,122.0,52.0,122.0
Count,110884.0,5422.0,105462.0
