,baseline,allstar_flag-true,allstar_flag-false
Mean,4.6,10.87,4.28
Median,0.0,0.0,0.0
Standard Deviation,18.62,34.47,17.38
Minimum,0.0,0.0,0.0
Maximum,160.0,155.0,160.0
Count,112106.0,5429.0,106677.0
