,baseline,allstar_flag-true,allstar_flag-false
Mean,3.06,13.53,2.53
Median,0.0,10.0,0.0
Standard Deviation,6.57,13.84,5.45
Minimum,0.0,0.0,0.0
Maximum,73.0,73.0,60.0
Count,112104.0,5429.0,106675.0
