,baseline,allstar_flag-true,allstar_flag-false
Mean,45.79,100.91,42.77
Median,31.0,121.0,29.0
Standard Deviation,44.94,50.68,42.59
Minimum,0.0,0.0,0.0
Maximum,165.0,165.0,164.0
Count,104408.0,5429.0,98979.0
