,baseline,allstar_flag-true,allstar_flag-false
Mean,38.67,105.34,35.28
Median,9.0,135.0,8.0
Standard Deviation,53.16,74.42,49.5
Minimum,0.0,0.0,0.0
Maximum,262.0,262.0,257.0
Count,112104.0,5429.0,106675.0
