,baseline,allstar_flag-true,allstar_flag-false
Mean,0.11,0.6,0.08
Median,0.0,0.0,0.0
Standard Deviation,0.71,1.78,0.59
Minimum,0.0,0.0,0.0
Maximum,27.0,27.0,20.0
Count,112106.0,5429.0,106677.0
