,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.05,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.12,0.27,0.11
Minimum,0.0,0.0,0.0
Maximum,7.0,3.0,7.0
Count,112106.0,5429.0,106677.0
