,baseline,allstar_flag-true,allstar_flag-false
Mean,10.51,13.38,10.37
Median,0.0,0.0,0.0
Standard Deviation,17.04,20.87,16.81
Minimum,0.0,0.0,0.0
Maximum,106.0,106.0,94.0
Count,112106.0,5429.0,106677.0
