,baseline,allstar_flag-true,allstar_flag-false
Mean,0.43,1.7,0.36
Median,0.0,0.0,0.0
Standard Deviation,1.74,3.48,1.58
Minimum,0.0,0.0,0.0
Maximum,31.0,31.0,29.0
Count,112106.0,5429.0,106677.0
