,baseline,allstar_flag-true,allstar_flag-false
Mean,0.13,0.72,0.1
Median,0.0,0.0,0.0
Standard Deviation,0.86,2.11,0.72
Minimum,0.0,0.0,0.0
Maximum,21.0,19.0,21.0
Count,112106.0,5429.0,106677.0
