,baseline,allstar_flag-true,allstar_flag-false
Mean,48.86,110.93,45.67
Median,12.0,39.0,11.0
Standard Deviation,94.02,148.75,89.15
Minimum,0.0,0.0,0.0
Maximum,643.0,583.0,643.0
Count,110884.0,5422.0,105462.0
