,baseline,allstar_flag-true,allstar_flag-false
Mean,13.46,31.87,12.52
Median,0.0,0.0,0.0
Standard Deviation,34.18,57.24,32.29
Minimum,0.0,0.0,0.0
Maximum,164.0,164.0,163.0
Count,112106.0,5429.0,106677.0
