,baseline,allstar_flag-true,allstar_flag-false
Mean,13.7,40.88,12.31
Median,3.0,41.0,2.0
Standard Deviation,21.06,34.45,19.13
Minimum,0.0,0.0,0.0
Maximum,232.0,232.0,170.0
Count,112104.0,5429.0,106675.0
