,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.04,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.11,0.24,0.1
Minimum,0.0,0.0,0.0
Maximum,5.0,5.0,5.0
Count,112106.0,5429.0,106677.0
