,baseline,allstar_flag-true,allstar_flag-false
Mean,808.08,1978.67,747.9
Median,222.0,2048.0,208.0
Standard Deviation,1159.04,1687.49,1091.79
Minimum,0.0,0.0,0.0
Maximum,4469.0,4469.0,4438.0
Count,110884.0,5422.0,105462.0
