,baseline,allstar_flag-true,allstar_flag-false
Mean,4.59,11.69,4.23
Median,0.0,0.0,0.0
Standard Deviation,18.96,36.15,17.57
Minimum,0.0,0.0,0.0
Maximum,162.0,162.0,162.0
Count,112106.0,5429.0,106677.0
