,baseline,allstar_flag-true,allstar_flag-false
Mean,3.89,2.45,3.97
Median,0.0,1.0,0.0
Standard Deviation,8.47,4.29,8.62
Minimum,0.0,0.0,0.0
Maximum,109.0,68.0,109.0
Count,112106.0,5429.0,106677.0
