,baseline,allstar_flag-true,allstar_flag-false
Mean,1.21,2.3,1.15
Median,0.0,0.0,0.0
Standard Deviation,7.05,9.01,6.93
Minimum,0.0,0.0,0.0
Maximum,189.0,89.0,189.0
Count,110884.0,5422.0,105462.0
