,baseline,allstar_flag-true,allstar_flag-false
Mean,0.74,2.65,0.64
Median,0.0,1.0,0.0
Standard Deviation,1.71,3.14,1.53
Minimum,0.0,0.0,0.0
Maximum,19.0,19.0,17.0
Count,112104.0,5429.0,106675.0
