,baseline,allstar_flag-true,allstar_flag-false
Mean,0.05,0.26,0.04
Median,0.0,0.0,0.0
Standard Deviation,0.35,0.81,0.3
Minimum,0.0,0.0,0.0
Maximum,8.0,7.0,8.0
Count,112106.0,5429.0,106677.0
