,baseline,allstar_flag-true,allstar_flag-false
Mean,17.73,55.43,15.81
Median,4.0,61.0,3.0
Standard Deviation,26.69,43.15,24.04
Minimum,0.0,0.0,0.0
Maximum,191.0,183.0,191.0
Count,112104.0,5429.0,106675.0
