,baseline,allstar_flag-true,allstar_flag-false
Mean,0.02,0.12,0.02
Median,0.0,0.0,0.0
Standard Deviation,0.18,0.43,0.16
Minimum,0.0,0.0,0.0
Maximum,5.0,5.0,5.0
Count,112106.0,5429.0,106677.0
