,baseline,allstar_flag-true,allstar_flag-false
Mean,0.02,0.11,0.02
Median,0.0,0.0,0.0
Standard Deviation,0.21,0.44,0.19
Minimum,0.0,0.0,0.0
Maximum,8.0,6.0,8.0
Count,112106.0,5429.0,106677.0
