,baseline,allstar_flag-true,allstar_flag-false
Mean,4.47,12.8,4.05
Median,0.0,0.0,0.0
Standard Deviation,20.38,38.51,18.9
Minimum,0.0,0.0,0.0
Maximum,162.0,162.0,162.0
Count,112106.0,5429.0,106677.0
