,baseline,allstar_flag-true,allstar_flag-false
Mean,2.21,4.13,2.11
Median,0.0,0.0,0.0
Standard Deviation,11.77,16.7,11.45
Minimum,0.0,0.0,0.0
Maximum,293.0,155.0,293.0
Count,110884.0,5422.0,105462.0
