,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.04,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.09,0.23,0.08
Minimum,0.0,0.0,0.0
Maximum,3.0,3.0,3.0
Count,112106.0,5429.0,106677.0
