,baseline,allstar_flag-true,allstar_flag-false
Mean,0.28,1.41,0.22
Median,0.0,0.0,0.0
Standard Deviation,1.56,3.59,1.35
Minimum,0.0,0.0,0.0
Maximum,29.0,24.0,29.0
Count,112106.0,5429.0,106677.0
