,baseline,allstar_flag-true,allstar_flag-false
Mean,22.01,53.75,20.39
Median,10.0,47.0,9.0
Standard Deviation,29.88,42.06,28.19
Minimum,0.0,0.0,0.0
Maximum,223.0,222.0,223.0
Count,112104.0,5429.0,106675.0
