,baseline,allstar_flag-true,allstar_flag-false
Mean,0.61,0.67,0.6
Median,0.0,0.0,0.0
Standard Deviation,3.6,2.43,3.65
Minimum,0.0,0.0,0.0
Maximum,114.0,28.0,114.0
Count,110884.0,5422.0,105462.0
