,baseline,allstar_flag-true,allstar_flag-false
Mean,1.12,2.81,1.03
Median,0.0,2.0,0.0
Standard Deviation,2.38,3.67,2.26
Minimum,0.0,0.0,0.0
Maximum,51.0,34.0,51.0
Count,112104.0,5429.0,106675.0
