,baseline,allstar_flag-true,allstar_flag-false
Mean,0.12,0.46,0.1
Median,0.0,0.0,0.0
Standard Deviation,1.62,3.8,1.42
Minimum,0.0,0.0,0.0
Maximum,63.0,63.0,63.0
Count,110884.0,5422.0,105462.0
