,baseline,allstar_flag-true,allstar_flag-false
Mean,0.7,0.24,0.73
Median,0.0,0.0,0.0
Standard Deviation,2.35,0.99,2.39
Minimum,0.0,0.0,0.0
Maximum,92.0,18.0,92.0
Count,112106.0,5429.0,106677.0
