,baseline,allstar_flag-true,allstar_flag-false
Mean,0.97,2.67,0.89
Median,0.0,1.0,0.0
Standard Deviation,2.47,3.86,2.35
Minimum,0.0,0.0,0.0
Maximum,42.0,42.0,38.0
Count,112104.0,5429.0,106675.0
