,baseline,allstar_flag-true,allstar_flag-false
Mean,50.52,105.87,47.7
Median,34.0,131.0,32.0
Standard Deviation,46.78,50.89,44.77
Minimum,1.0,1.0,1.0
Maximum,165.0,165.0,164.0
Count,112106.0,5429.0,106677.0
