,baseline,allstar_flag-true,allstar_flag-false
Mean,6.61,19.08,5.97
Median,1.0,22.0,1.0
Standard Deviation,9.85,14.79,9.08
Minimum,0.0,0.0,0.0
Maximum,67.0,64.0,67.0
Count,112104.0,5429.0,106675.0
