,baseline,allstar_flag-true,allstar_flag-false
Mean,100.13,100.5,100.11
Median,100.0,100.0,100.0
Standard Deviation,4.8,4.71,4.81
Minimum,60.0,88.0,60.0
Maximum,129.0,129.0,129.0
Count,112106.0,5429.0,106677.0
