,baseline,allstar_flag-true,allstar_flag-false
Mean,0.88,4.43,0.7
Median,0.0,0.0,0.0
Standard Deviation,6.29,14.41,5.51
Minimum,0.0,0.0,0.0
Maximum,169.0,149.0,169.0
Count,112106.0,5429.0,106677.0
