,baseline,allstar_flag-true,allstar_flag-false
Mean,0.01,0.05,0.01
Median,0.0,0.0,0.0
Standard Deviation,0.15,0.26,0.14
Minimum,0.0,0.0,0.0
Maximum,6.0,4.0,6.0
Count,112106.0,5429.0,106677.0
