,baseline,allstar_flag-true,allstar_flag-false
Mean,2.6,2.49,2.6
Median,3.0,3.0,3.0
Standard Deviation,0.98,0.94,0.98
Minimum,1.0,1.0,1.0
Maximum,9.0,5.0,9.0
Count,38370.0,1718.0,36652.0
