,baseline,allstar_flag-true,allstar_flag-false
Mean,2122996.67,5041526.45,1880526.23
Median,600000.0,3329166.5,530000.0
Standard Deviation,3448390.56,5319207.17,3124617.9
Minimum,0.0,62500.0,0.0
Maximum,33000000.0,33000000.0,33000000.0
Count,28107.0,2156.0,25951.0
