,baseline,allstar_flag-true,allstar_flag-false
Mean,148.8,365.87,137.75
Median,53.0,479.0,48.0
Standard Deviation,187.78,240.46,177.75
Minimum,0.0,0.0,0.0
Maximum,716.0,704.0,716.0
Count,112104.0,5429.0,106675.0
