,baseline,allstar_flag-true,allstar_flag-false
Mean,2.17,3.15,2.12
Median,0.0,1.0,0.0
Standard Deviation,4.13,4.19,4.12
Minimum,0.0,0.0,0.0
Maximum,67.0,40.0,67.0
Count,112104.0,5429.0,106675.0
