,baseline,allstar_flag-true,allstar_flag-false
Mean,10.18,28.31,9.25
Median,1.0,4.0,1.0
Standard Deviation,23.07,41.65,21.28
Minimum,0.0,0.0,0.0
Maximum,194.0,192.0,194.0
Count,110884.0,5422.0,105462.0
