,baseline,allstar_flag-true,allstar_flag-false
Mean,0.3,1.51,0.24
Median,0.0,0.0,0.0
Standard Deviation,1.5,3.32,1.31
Minimum,0.0,0.0,0.0
Maximum,20.0,18.0,20.0
Count,112106.0,5429.0,106677.0
