,baseline,allstar_flag-true,allstar_flag-false
Mean,0.48,1.76,0.42
Median,0.0,0.0,0.0
Standard Deviation,1.83,3.5,1.67
Minimum,0.0,0.0,0.0
Maximum,20.0,18.0,20.0
Count,112106.0,5429.0,106677.0
