,baseline,allstar_flag-true,allstar_flag-false
Mean,47.18,101.29,44.43
Median,30.0,131.0,28.0
Standard Deviation,48.73,57.41,46.59
Minimum,0.0,0.0,0.0
Maximum,165.0,165.0,164.0
Count,112106.0,5429.0,106677.0
